iter	Passed	Remaining
0	153	153079
1	155	77835
2	159	53119
3	162	40463
4	165	32843
5	167	27718
6	169	24063
7	172	21431
8	175	19297
9	177	17550
10	179	16130
11	181	14930
12	183	13919
13	187	13186
14	189	12454
15	192	11836
16	194	11269
17	197	10753
18	199	10309
19	202	9900
20	203	9506
21	206	9158
22	207	8833
23	209	8534
24	212	8271
25	215	8079
26	218	7887
27	220	7662
28	222	7446
29	224	7251
30	226	7091
31	229	6936
32	231	6784
33	233	6628
34	235	6491
35	237	6349
36	238	6214
37	240	6095
38	243	5994
39	245	5891
40	247	5786
41	249	5693
42	251	5601
43	253	5515
44	256	5443
45	258	5362
46	260	5280
47	262	5206
48	264	5128
49	266	5072
50	269	5005
51	271	4950
52	273	4886
53	275	4822
54	277	4760
55	278	4702
56	281	4648
57	282	4595
58	285	4553
59	287	4509
60	289	4459
61	291	4412
62	293	4364
63	295	4325
64	297	4283
65	300	4246
66	302	4218
67	304	4176
68	306	4139
69	308	4103
70	310	4065
71	312	4028
72	314	3990
73	316	3963
74	318	3930
75	320	3896
76	322	3864
77	324	3834
78	326	3801
79	327	3770
80	330	3745
81	332	3722
82	333	3684
83	335	3655
84	337	3632
85	339	3605
86	341	3583
87	343	3557
88	345	3540
89	347	3515
90	349	3495
91	352	3474
92	354	3453
93	356	3432
94	357	3409
95	360	3390
96	361	3365
97	363	3345
98	365	3326
99	367	3307
100	369	3287
101	371	3267
102	372	3247
103	375	3232
104	377	3217
105	380	3206
106	382	3195
107	384	3178
108	387	3163
109	389	3149
110	392	3140
111	394	3127
112	397	3117
113	399	3106
114	402	3099
115	405	3088
116	407	3073
117	410	3069
118	413	3058
119	415	3046
120	417	3033
121	419	3015
122	422	3010
123	424	2996
124	426	2982
125	428	2969
126	429	2953
127	431	2940
128	433	2928
129	437	2926
130	439	2914
131	441	2902
132	443	2890
133	445	2878
134	447	2867
135	449	2856
136	452	2848
137	454	2837
138	456	2825
139	458	2813
140	459	2801
141	460	2785
142	462	2773
143	464	2762
144	467	2758
145	470	2750
146	472	2738
147	474	2730
148	476	2719
149	478	2709
150	480	2702
151	483	2699
152	485	2689
153	488	2683
154	490	2674
155	493	2667
156	495	2659
157	498	2658
158	501	2651
159	503	2643
160	504	2631
161	507	2623
162	509	2615
163	512	2613
164	514	2603
165	516	2596
166	519	2589
167	521	2582
168	523	2575
169	526	2570
170	528	2563
171	531	2560
172	533	2552
173	536	2546
174	538	2538
175	541	2533
176	543	2527
177	545	2520
178	550	2523
179	553	2522
180	557	2524
181	559	2513
182	561	2505
183	563	2499
184	567	2500
185	569	2494
186	572	2489
187	574	2479
188	576	2473
189	578	2465
190	580	2458
191	582	2450
192	584	2444
193	586	2436
194	588	2429
195	590	2422
196	592	2415
197	594	2408
198	596	2401
199	598	2394
200	601	2389
201	602	2381
202	604	2371
203	606	2364
204	607	2357
205	609	2349
206	611	2342
207	613	2334
208	615	2329
209	617	2323
210	619	2316
211	621	2309
212	623	2303
213	625	2296
214	626	2289
215	629	2283
216	631	2279
217	633	2273
218	635	2267
219	638	2262
220	639	2255
221	641	2248
222	643	2243
223	645	2234
224	646	2227
225	649	2223
226	651	2217
227	653	2211
228	655	2206
229	657	2199
230	659	2194
231	660	2187
232	663	2183
233	665	2177
234	667	2172
235	669	2168
236	671	2162
237	673	2157
238	675	2150
239	678	2148
240	681	2145
241	684	2145
242	686	2139
243	689	2135
244	690	2128
245	692	2122
246	694	2116
247	696	2110
248	697	2105
249	699	2099
250	701	2093
251	703	2089
252	705	2084
253	708	2079
254	709	2074
255	711	2068
256	713	2063
257	715	2057
258	717	2051
259	719	2047
260	721	2042
261	723	2036
262	725	2031
263	726	2026
264	728	2021
265	730	2016
266	734	2017
267	737	2013
268	738	2007
269	740	2002
270	742	1997
271	744	1992
272	746	1987
273	748	1982
274	750	1978
275	752	1974
276	754	1969
277	756	1964
278	758	1959
279	760	1955
280	762	1951
281	765	1948
282	766	1942
283	768	1938
284	771	1934
285	772	1929
286	775	1925
287	777	1923
288	780	1921
289	783	1917
290	785	1913
291	788	1910
292	790	1907
293	792	1903
294	796	1903
295	798	1898
296	799	1893
297	801	1889
298	803	1884
299	805	1879
300	807	1875
301	809	1872
302	811	1866
303	813	1861
304	815	1857
305	817	1853
306	819	1849
307	821	1845
308	823	1840
309	825	1837
310	827	1833
311	829	1828
312	830	1823
313	832	1819
314	834	1815
315	836	1810
316	838	1806
317	840	1802
318	842	1798
319	844	1793
320	846	1789
321	847	1785
322	849	1781
323	851	1777
324	853	1772
325	855	1769
326	857	1765
327	859	1761
328	862	1758
329	864	1754
330	866	1750
331	868	1747
332	870	1744
333	872	1740
334	874	1736
335	876	1732
336	878	1728
337	880	1724
338	882	1720
339	884	1717
340	886	1713
341	888	1709
342	890	1705
343	892	1701
344	894	1698
345	896	1694
346	898	1690
347	900	1688
348	903	1684
349	904	1680
350	906	1676
351	908	1673
352	910	1669
353	912	1665
354	915	1663
355	917	1659
356	919	1656
357	921	1652
358	923	1648
359	925	1644
360	927	1641
361	929	1638
362	931	1635
363	933	1631
364	935	1628
365	937	1624
366	939	1620
367	941	1616
368	943	1613
369	946	1611
370	948	1607
371	950	1604
372	952	1600
373	954	1597
374	955	1593
375	957	1589
376	959	1586
377	962	1583
378	963	1579
379	966	1576
380	968	1572
381	969	1568
382	971	1565
383	973	1561
384	976	1559
385	977	1555
386	979	1552
387	981	1548
388	983	1544
389	985	1541
390	987	1538
391	989	1535
392	992	1533
393	994	1529
394	996	1526
395	998	1523
396	1000	1520
397	1002	1516
398	1006	1515
399	1008	1512
400	1010	1509
401	1013	1506
402	1015	1503
403	1017	1501
404	1019	1498
405	1021	1493
406	1023	1490
407	1025	1487
408	1026	1483
409	1028	1480
410	1031	1478
411	1034	1476
412	1035	1472
413	1037	1468
414	1039	1465
415	1041	1462
416	1043	1459
417	1045	1456
418	1048	1453
419	1051	1451
420	1053	1448
421	1057	1448
422	1060	1447
423	1063	1444
424	1065	1442
